THM,7761,Fotografi af officerer i feltlejr, ca. 1880-90
THM,7765,Et nummer af journalen Разведчик (Spejderen) fra 1899
THM,7768,Et nummer af journalen Разведчик (Spejderen) fra 1899
THM,7777,Et nummer af journalen Разведчик (Spejderen) fra 1899
THM,7784,Et nummer af journalen Разведчик (Spejderen) fra 1899
THM,7788,Billet til 100-års jubilæum, Volynskij-Regimentet, 1906, forside
THM,7794,Gruppefotografi af otte officerer, storfyrste Nikolaj Nikolajevitj i midten
THM,7796,Udendørs gruppeportræt af 36 soldater med Georgs-kors, bagside
THM,7797,Gruppefotografi af kaukasiske officerer, 1881
THM,7809,Tegning af matros 1880
THM,7810,Fra flådens sænkning 29. aug. 1943.
THM,7814,Torpedoudskydningsrappert. 
THM,7817,Inspektionsskibet "Diana" 
THM,7818,"Peder Skram" 
THM,7819,"Ingolf" 
THM,7822,Gruppebillede om bord i "Valkyrien".
THM,7825,Korpssabel m.1817 
THM,7827,"Dannebrog"
THM,7831,"Dannebrog"

FHM,219359,Frihedsmuseets fotoarkiv
FHM,219381,Frihedsmuseets fotoarkiv
FHM,219397,Frihedsmuseets fotoarkiv
FHM,219418,Frihedsmuseets fotoarkiv
FHM,219426,Frihedsmuseets fotoarkiv
FHM,219441,Frihedsmuseets fotoarkiv
FHM,219458,Frihedsmuseets fotoarkiv
FHM,219459,Frihedsmuseets fotoarkiv
FHM,219461,Frihedsmuseets fotoarkiv
FHM,219473,Frihedsmuseets fotoarkiv
FHM,219482,Frihedsmuseets fotoarkiv
FHM,219487,Frihedsmuseets fotoarkiv
FHM,219489,Frihedsmuseets fotoarkiv
FHM,219509,Frihedsmuseets fotoarkiv
FHM,219532,Frihedsmuseets fotoarkiv
FHM,219533,Frihedsmuseets fotoarkiv
FHM,219547,Frihedsmuseets fotoarkiv
FHM,219559,Frihedsmuseets fotoarkiv
FHM,219576,Frihedsmuseets fotoarkiv
FHM,219577,Frihedsmuseets fotoarkiv
FHM,219581,Frihedsmuseets fotoarkiv
FHM,219586,Frihedsmuseets fotoarkiv
FHM,219595,Frihedsmuseets fotoarkiv
FHM,219609,Frihedsmuseets fotoarkiv
FHM,219615,Frihedsmuseets fotoarkiv
FHM,219627,Frihedsmuseets fotoarkiv
FHM,219636,Frihedsmuseets fotoarkiv
FHM,219638,Frihedsmuseets fotoarkiv
FHM,219645,Frihedsmuseets fotoarkiv
FHM,219652,Frihedsmuseets fotoarkiv
FHM,219657,Frihedsmuseets fotoarkiv
FHM,219662,Frihedsmuseets fotoarkiv
FHM,219667,Frihedsmuseets fotoarkiv
FHM,219670,Frihedsmuseets fotoarkiv
FHM,219697,Frihedsmuseets fotoarkiv
FHM,219719,Frihedsmuseets fotoarkiv
FHM,219727,Frihedsmuseets fotoarkiv
FHM,219770,Frihedsmuseets fotoarkiv
FHM,219771,Frihedsmuseets fotoarkiv
FHM,219774,Frihedsmuseets fotoarkiv
FHM,219781,Frihedsmuseets fotoarkiv
FHM,219790,Frihedsmuseets fotoarkiv
FHM,219842,Frihedsmuseets fotoarkiv
FHM,219848,Frihedsmuseets fotoarkiv
FHM,175026,Frihedsmuseets fotoarkiv
FHM,175034,Frihedsmuseets fotoarkiv
FHM,175035,Frihedsmuseets fotoarkiv
FHM,175047,Frihedsmuseets fotoarkiv
FHM,175059,Frihedsmuseets fotoarkiv
FHM,175083,Frihedsmuseets fotoarkiv
FHM,175087,Frihedsmuseets fotoarkiv
FHM,175102,Frihedsmuseets fotoarkiv
FHM,175128,Frihedsmuseets fotoarkiv
FHM,175142,Frihedsmuseets fotoarkiv
FHM,175144,Frihedsmuseets fotoarkiv
FHM,175147,Frihedsmuseets fotoarkiv
FHM,175152,Frihedsmuseets fotoarkiv
FHM,175157,Frihedsmuseets fotoarkiv
FHM,175158,Frihedsmuseets fotoarkiv
FHM,175160,Frihedsmuseets fotoarkiv
FHM,175161,Frihedsmuseets fotoarkiv
FHM,175167,Frihedsmuseets fotoarkiv
FHM,175188,Frihedsmuseets fotoarkiv
FHM,175195,Frihedsmuseets fotoarkiv
FHM,175209,Frihedsmuseets fotoarkiv
FHM,175212,Frihedsmuseets fotoarkiv
FHM,175216,Frihedsmuseets fotoarkiv
FHM,175245,Frihedsmuseets fotoarkiv
FHM,175275,Frihedsmuseets fotoarkiv
FHM,175284,Frihedsmuseets fotoarkiv
FHM,175290,Frihedsmuseets fotoarkiv
FHM,175294,Frihedsmuseets fotoarkiv
FHM,175295,Frihedsmuseets fotoarkiv
FHM,175299,Frihedsmuseets fotoarkiv
FHM,175307,Frihedsmuseets fotoarkiv
FHM,175309,Frihedsmuseets fotoarkiv
FHM,175312,Frihedsmuseets fotoarkiv
FHM,175323,Frihedsmuseets fotoarkiv
FHM,175324,Frihedsmuseets fotoarkiv
FHM,175327,Frihedsmuseets fotoarkiv
FHM,175365,Frihedsmuseets fotoarkiv
FHM,175376,Frihedsmuseets fotoarkiv
FHM,175382,Frihedsmuseets fotoarkiv
FHM,175387,Frihedsmuseets fotoarkiv
FHM,175405,Frihedsmuseets fotoarkiv
FHM,175411,Frihedsmuseets fotoarkiv
FHM,175412,Frihedsmuseets fotoarkiv
FHM,175421,Frihedsmuseets fotoarkiv
FHM,175425,Frihedsmuseets fotoarkiv
FHM,175427,Frihedsmuseets fotoarkiv
FHM,175428,Frihedsmuseets fotoarkiv
FHM,175432,Frihedsmuseets fotoarkiv
FHM,175436,Frihedsmuseets fotoarkiv
FHM,175443,Frihedsmuseets fotoarkiv
FHM,175463,Frihedsmuseets fotoarkiv
FHM,175471,Frihedsmuseets fotoarkiv
FHM,175477,Frihedsmuseets fotoarkiv
FHM,175495,Frihedsmuseets fotoarkiv
DO,626,Menneskefigur i rav fra Fedet.
DO,627,Mejsel med skaft fra Vimose
DO,632,Armringe fra Højby og Sejerø.
DO,633,Bronzefigur fra Grevensvænge
DO,646,Guldmand fra Slipshavn Skov
DO,653,Mosbæk-kedlen
DO,657,Maleri af guldhorn fra Gallehus
DO,666,Periode III sværd fra Over Dråby
DO,670,Hele fundet fra Slipshavn skov
DO,672,Processionsøkse af bronze, Nordsjælland
DO,685,Maleri af guldhorn fra Gallehus
DO,688,Hoby-fundet
DO,693,Bjergartsøkser, Neolitikum
DO,706,Bopladsfund fra Sorte Muld
DO,718,A-brakteater fra Over Hornbæk og Vendsysel.
DO,723,Guldhalsringe
DO,724,Hele fundet fra Slipshavn skov
DO,725,Spiralarmring fra Bremsnes, Norge
DO,726,Skafttungepil fra Lykkesborg.
DO,737,Smykker fra Vester Vedsted
DO,739,Nålehoved af sølv fra Skjeggenes, Norge
DO,743,Illustration fra Gyldendal
DO,745,Ormehovedfingerring fra Ravnkilde.
DO,749,Fibler fra Besser grav 1.
DO,751,Pragtfibler
DO,754,Ragekniv fra Arnitlund.
DO,757,Lerkar og våben
DO,780,Fibula fra Hove Mølle ("Vedstrup")
DO,786,Hindsgavl-dolken
DO,792,Udgravning af Egtvedpigen
DO,793,Øse-si par fra Himlingøje.
DO,809,Thorshammer fra Tågemosen
DO,810,Økse fra Trelleborg
DO,812,Ring og perler fra Ejsbøl Mose
DO,814,Støbeform m. thorshammer og kors
DO,818,Kølle og pile fra Holmegård IV
DO,819,Lerkar fra Kraghede
DO,830,Fibula fra Aagerup
DO,832,Moselig fra Huldremose.
DO,840,Ring og perler fra Ejsbøl Mose
DO,843,Tegning af dysse og gravhøje
DO,853,Perler og lukke i guld fra Juellinge grav 4.
DO,855,Mankestole fra Søllested og Mammen
DO,858,Mosbæk-kedlen
DO,861,votivfund fra Holbæk Ladegård
DO,865,Glaskar fra Himlingøje.
DO,868,Bægre fra Dollerup
DO,883,Armringe fra Gislinge.
DO,884,Guldhornene fra gallehus (Globs kopier)
DO,894,Fibula fra Rutsker sogn
DO,898,Maleri af guldhorn fra Gallehus
DO,909,Akvarel af udgravningen af Borum Eshøj
DO,920,Tekstil fra Mammengraven
DO,929,Ravsmykker fra Henne Strand
DO,934,Fibler, spænde og stangnål fra Trelleborg
DO,935,Bælteplade fra Egtved
DO,943,Himlingøje grav 2, 1949.
DO,947,Tyknakket økser fra Staby Mose.
DO,952,Gundestrupkarret
DO,993,Akvarel af A.P. Madsen
DO,994,Kamme fra Nydam IV
DO,1007,Ravfigurer
DO,1011,Flintdolke fra Agersted Bakker
DO,1022,Sværd fra Gammelby, grav II
DO,1041,Smykker fra Varpelev
DO,1042,Armring fra Tebbestrup
DO,1046,Knogler fra Hollerup
DO,1064,Menneskefigur fra St. Olof, Skåne
DO,1065,C-brakteat fra Skt. Ibs vej
DO,1073,Gravfund fra Hverrehus
